qS1,qS2B,qS2,x,y,z,t,set_label
19.639137,802.39935,3216.229,209.81195,-350.7687,192.94619750976562,2021-11-16 19:07:27.956608012+00:00,run1_set1
21.718578,627.5424,2478.0151,-225.78174,-1.8784759,393.5828857421875,2021-11-17 01:51:18.280023820+00:00,run1_set1
46.117363,1543.0835,5486.2896,-79.08371,407.83075,-122.21923828125,2021-11-17 06:35:18.716775152+00:00,run1_set1
27.602207,896.483,2942.9895,76.936104,205.42546,205.53781127929688,2021-11-17 07:00:06.719047920+00:00,run1_set1
11.151696,888.9876,3326.1843,43.106167,-390.06485,389.5723876953125,2021-11-17 16:28:45.299930468+00:00,run1_set1
40.754246,1324.2319,4910.682,-474.3016,-207.27216,128.21817016601562,2021-11-17 21:36:06.819161968+00:00,run1_set1
28.297064,767.68774,3004.855,252.22153,49.71185,370.38250732421875,2021-11-17 22:00:39.953844608+00:00,run1_set1
122.607216,2332.823,7494.1826,179.25029,260.06403,72.58660888671875,2021-11-18 03:37:14.931251876+00:00,run1_set1
100.71227,2075.3037,8636.714,437.0067,-269.98416,386.6317138671875,2021-11-18 07:29:21.906261936+00:00,run1_set1
112.334175,2630.4573,8199.643,-443.4726,-131.01901,-472.0283203125,2021-11-18 09:30:34.276794152+00:00,run1_set1
6.460773,540.6021,2095.996,303.41428,-58.21839,287.0303649902344,2021-11-18 11:27:26.951846780+00:00,run1_set1
62.6537,1585.1716,5983.5073,-437.07794,178.42949,467.1720886230469,2021-11-18 13:18:06.444275700+00:00,run1_set1
121.22122,2576.4714,8422.499,338.23386,87.497185,-544.1611328125,2021-11-18 15:57:30.418198168+00:00,run1_set1
39.53227,1203.5488,5148.389,338.60895,-356.27972,-106.05963134765625,2021-11-19 04:00:16.253237676+00:00,run1_set1
55.668568,1232.9447,5245.6763,-160.5573,-308.63397,431.1392517089844,2021-11-19 04:15:04.746702892+00:00,run1_set1
67.69271,2217.331,6890.6377,222.43977,-50.17841,-271.69964599609375,2021-11-19 10:05:36.952761880+00:00,run1_set1
96.02439,2878.541,10886.293,-176.17404,-251.44472,50.9825439453125,2021-11-19 18:06:45.848456652+00:00,run1_set1
43.33793,1316.7748,5003.832,425.5115,-243.00626,-392.59698486328125,2021-11-19 18:45:57.483710124+00:00,run1_set1
45.794117,1445.0485,5071.8286,38.38842,-406.7368,187.32254028320312,2021-11-19 19:29:55.331128483+00:00,run1_set1
85.73003,2414.5703,8439.709,-326.29367,-214.09502,33.36663818359375,2021-11-19 20:23:37.048245756+00:00,run1_set1
7.529539,925.5719,2583.5034,220.52039,141.83434,-436.6619873046875,2021-11-19 20:27:57.166343032+00:00,run1_set1
96.45864,1809.4596,6445.326,380.7943,67.74476,-64.45916748046875,2021-11-19 21:54:34.480213132+00:00,run1_set1
126.14243,3114.1304,11218.271,419.57523,-115.05469,38.69342041015625,2021-11-20 02:59:19.389088444+00:00,run1_set1
29.399977,1474.0723,5343.7764,-147.44946,459.95917,32.1231689453125,2021-11-20 07:18:46.796262944+00:00,run1_set1
77.924416,2043.8882,5819.4307,-408.997,147.87048,-353.71875,2021-11-20 08:48:59.141829884+00:00,run1_set1
46.12031,972.74744,3616.605,209.61966,-322.5342,321.7804870605469,2021-11-20 20:55:59.112156476+00:00,run1_set1
72.03808,1767.6764,6420.6426,-402.75577,23.475708,497.3572082519531,2021-11-20 22:13:39.347291388+00:00,run1_set1
68.19384,1548.4005,5276.6426,41.72092,274.911,-211.72149658203125,2021-11-20 23:05:06.766127436+00:00,run1_set1
28.612244,835.99365,3079.4185,-461.81415,-18.25035,195.32110595703125,2021-11-21 01:09:05.134596928+00:00,run1_set1
69.72008,1293.5376,3660.5515,241.91269,195.358,-457.8515625,2021-11-21 03:30:34.405718856+00:00,run1_set1
111.95662,1675.6553,7006.5835,423.94724,-33.835304,437.7711181640625,2021-11-21 03:49:04.439651772+00:00,run1_set1
49.20408,1628.0529,4896.1562,360.71964,154.9078,-414.20660400390625,2021-11-21 04:01:33.802938632+00:00,run1_set1
11.667104,562.513,1926.5789,-79.63627,46.0579,-356.85540771484375,2021-11-21 08:52:04.783321076+00:00,run1_set1
67.219086,1466.0698,5463.632,4.092506,-80.54662,320.3857727050781,2021-11-21 10:21:29.038313348+00:00,run1_set1
81.88775,2078.1636,5642.827,11.471938,14.281567,-466.555908203125,2021-11-21 11:26:36.781933620+00:00,run1_set1
19.574818,830.4346,2730.2822,-148.81195,-145.68164,-326.4686279296875,2021-11-21 11:50:32.096879404+00:00,run1_set1
71.80555,2449.0422,8636.724,179.09955,-284.80396,-131.01318359375,2021-11-22 00:19:24.362783980+00:00,run1_set1
75.24225,2239.421,7516.2964,-196.9115,-217.37056,-57.95050048828125,2021-11-22 01:09:49.425300104+00:00,run1_set1
19.50124,674.42706,1986.4199,171.58728,79.05273,-199.31475830078125,2021-11-22 19:27:09.593455908+00:00,run1_set1
9.991531,628.67096,2197.031,37.596172,267.2487,-286.66058349609375,2021-11-22 20:10:07.042997004+00:00,run1_set1
58.442852,1231.9229,4566.564,-323.87708,-188.59515,216.8131103515625,2021-11-22 21:25:35.155450936+00:00,run1_set1
93.31045,2384.2217,8168.841,-292.74258,-104.55953,-326.16619873046875,2021-11-23 00:12:52.912089196+00:00,run1_set1
11.914454,735.10504,3486.2297,17.192036,-515.7474,428.7923278808594,2021-11-23 03:38:57.441168960+00:00,run1_set1
79.094734,1492.0679,6057.564,236.65338,-453.02017,-91.82684326171875,2021-11-23 07:44:48.493970752+00:00,run1_set1
129.27843,1948.0569,6241.977,-158.5843,117.391014,103.99273681640625,2021-11-23 10:05:19.975717492+00:00,run1_set1
127.283745,1655.6005,5923.3174,-18.520971,410.99512,-3.24871826171875,2021-11-24 06:36:10.525515283+00:00,run1_set1
64.50538,1984.9209,6422.334,-396.95953,318.54306,-385.25933837890625,2021-11-24 08:24:40.268950348+00:00,run1_set1
34.296066,762.7989,3027.8044,3.928806,-225.6743,452.01507568359375,2021-11-24 11:20:58.953741456+00:00,run1_set1
7.478522,542.02466,1736.5812,-339.55972,-142.25015,-545.5615234375,2021-11-24 11:49:18.887231932+00:00,run1_set1
120.49873,2149.6758,5746.9336,-228.77255,238.98322,138.32843017578125,2021-11-24 12:50:59.464591684+00:00,run1_set1
109.66986,1829.4131,6897.6504,-30.185955,-290.88116,324.87237548828125,2021-11-25 00:45:45.631543040+00:00,run1_set1
130.6691,2346.6519,8086.782,-385.88602,-93.89797,348.2743835449219,2021-11-25 03:07:26.916270384+00:00,run1_set1
74.46144,1385.8958,5123.854,-312.28464,-88.83679,241.010498046875,2021-11-25 17:17:17.267708924+00:00,run1_set1
127.99037,2042.9944,6059.767,411.0568,152.64383,-77.75653076171875,2021-11-25 21:08:39.047062936+00:00,run1_set1
134.61674,1891.505,7037.834,228.71822,-358.07004,-486.46826171875,2021-11-25 21:29:24.111031964+00:00,run1_set1
87.95883,1991.1625,6637.701,236.7871,388.35376,-388.8553466796875,2021-11-25 21:57:14.866752100+00:00,run1_set1
122.94138,2209.8394,8036.8623,-297.39456,379.905,-51.3577880859375,2021-11-25 23:41:08.541843324+00:00,run1_set1
97.14155,2320.3865,7026.3794,411.47623,125.46131,-131.0299072265625,2021-11-26 03:08:39.791205880+00:00,run1_set1
44.716366,1280.9015,4838.06,-443.79852,76.9379,293.7630615234375,2021-11-26 15:03:32.578780012+00:00,run1_set1
89.783516,2542.5464,9184.89,209.25204,-86.68241,232.703857421875,2021-11-26 23:36:36.743325908+00:00,run1_set1
117.697655,2278.1406,9254.922,294.34357,-80.17459,426.378173828125,2021-11-26 23:43:25.878554384+00:00,run1_set1
45.222702,1791.5369,6493.6694,276.81613,363.32318,-72.65936279296875,2021-11-27 00:08:12.634385156+00:00,run1_set1
74.1978,1661.3357,5500.6187,-146.02687,319.06094,-301.190185546875,2021-11-27 01:07:38.754928708+00:00,run1_set1
34.73894,1183.6787,3973.822,-158.88213,-29.615332,-470.476806640625,2021-11-27 03:30:58.790370092+00:00,run1_set1
92.282486,1751.7915,6096.2827,394.184,105.29812,451.6510009765625,2021-12-05 07:52:47.953110756+00:00,run1_set2
38.644806,1436.7063,4591.181,268.62518,381.90198,-302.1368408203125,2021-12-05 08:32:31.709224952+00:00,run1_set2
9.750313,846.1999,2596.4968,27.769636,-192.03915,-402.6287841796875,2021-12-05 23:30:12.526695996+00:00,run1_set2
80.64479,2327.581,7865.7695,446.188,-154.7663,-269.4927978515625,2021-12-06 02:33:01.225431384+00:00,run1_set2
35.173256,1418.5864,5173.289,-380.0104,-60.3853,505.4454040527344,2021-12-06 10:27:33.912325356+00:00,run1_set2
56.614563,1608.0349,5351.4395,-17.449276,406.59467,244.76333618164062,2021-12-06 21:33:43.392352652+00:00,run1_set2
38.90529,987.12683,3312.1978,-239.89442,-173.09229,-166.84991455078125,2021-12-07 17:05:58.535104924+00:00,run1_set2
45.8051,1162.4686,3938.1145,181.3607,-274.78732,-429.57086181640625,2021-12-07 18:03:12.398067108+00:00,run1_set2
46.07485,1419.3824,4814.0415,55.59478,-450.78955,-310.28668212890625,2021-12-07 22:29:47.551500348+00:00,run1_set2
101.41208,2276.1604,7662.5967,-118.049126,353.15506,265.9976501464844,2021-12-08 01:40:21.311347012+00:00,run1_set2
81.352875,2386.7417,7862.973,-210.96858,-414.87515,143.65518188476562,2021-12-08 11:02:53.241406392+00:00,run1_set2
